FIPS,STATE,COUNTY,TOTAL_VOTES,R_VOTES,D_VOTES,O_VOTES
04001,Arizona,Apache,25019,9165,14942,912
04003,Arizona,Cochise,43931,28805,14000,1126
04005,Arizona,Coconino,50547,20988,28268,1291
04007,Arizona,Gila,20531,14443,5621,467
04009,Arizona,Graham,10621,7776,2569,276
04011,Arizona,Greenlee,2549,1637,832,80
04012,Arizona,La Paz,4559,3431,1015,113
04013,Arizona,Maricopa,1276357,717437,533251,25669
04015,Arizona,Mohave,70539,55869,13370,1300
04017,Arizona,Navajo,36577,21877,13645,1055
04019,Arizona,Pima,365119,175460,181738,7921
04021,Arizona,Pinal,110749,71794,36394,2561
04023,Arizona,Santa Cruz,13456,4791,8404,261
04025,Arizona,Yavapai,107264,73417,31843,2004
04027,Arizona,Yuma,43187,23616,18741,830
